TL: training loss, VL: validation loss
THD: training hausdorf distance, VHD: validation hausdorf distance
TDD: training dice distance, VDD: validation dice distance
Epoch: 59, TL: 0.00526, VL: 0.00510 THD: 0.08285, VHD: 0.08297 TDD: 0.00029, VDD: 0.00028, Time: 0:00:38.630635
Epoch: 60, TL: 0.00503, VL: 0.00490 THD: 0.07857, VHD: 0.07953 TDD: 0.00029, VDD: 0.00028, Time: 0:00:38.671840
Epoch: 61, TL: 0.00481, VL: 0.00467 THD: 0.07458, VHD: 0.07443 TDD: 0.00030, VDD: 0.00029, Time: 0:00:38.663267
Epoch: 62, TL: 0.00461, VL: 0.00450 THD: 0.07084, VHD: 0.07177 TDD: 0.00031, VDD: 0.00029, Time: 0:00:38.643876
Epoch: 63, TL: 0.00442, VL: 0.00430 THD: 0.06737, VHD: 0.06710 TDD: 0.00031, VDD: 0.00029, Time: 0:00:38.776206
Epoch: 64, TL: 0.00423, VL: 0.00414 THD: 0.06397, VHD: 0.06376 TDD: 0.00032, VDD: 0.00030, Time: 0:00:38.605383
Epoch: 65, TL: 0.00406, VL: 0.00397 THD: 0.06091, VHD: 0.06038 TDD: 0.00033, VDD: 0.00032, Time: 0:00:38.788263
Epoch: 66, TL: 0.00390, VL: 0.00380 THD: 0.05804, VHD: 0.05748 TDD: 0.00033, VDD: 0.00032, Time: 0:00:38.766361
Epoch: 67, TL: 0.00375, VL: 0.00364 THD: 0.05531, VHD: 0.05405 TDD: 0.00034, VDD: 0.00033, Time: 0:00:38.816628
Epoch: 68, TL: 0.00361, VL: 0.00352 THD: 0.05277, VHD: 0.05187 TDD: 0.00035, VDD: 0.00034, Time: 0:00:38.745673
Epoch: 69, TL: 0.00347, VL: 0.00336 THD: 0.05034, VHD: 0.04902 TDD: 0.00036, VDD: 0.00035, Time: 0:00:38.643766
Epoch: 70, TL: 0.00334, VL: 0.00325 THD: 0.04809, VHD: 0.04735 TDD: 0.00037, VDD: 0.00035, Time: 0:00:38.780652
Epoch: 71, TL: 0.00322, VL: 0.00313 THD: 0.04600, VHD: 0.04481 TDD: 0.00037, VDD: 0.00037, Time: 0:00:38.814865
Epoch: 72, TL: 0.00310, VL: 0.00302 THD: 0.04405, VHD: 0.04289 TDD: 0.00038, VDD: 0.00035, Time: 0:00:38.776012
Epoch: 73, TL: 0.00299, VL: 0.00291 THD: 0.04221, VHD: 0.04097 TDD: 0.00039, VDD: 0.00036, Time: 0:00:39.097105
Epoch: 74, TL: 0.00289, VL: 0.00282 THD: 0.04044, VHD: 0.03956 TDD: 0.00040, VDD: 0.00036, Time: 0:00:39.152630
Epoch: 75, TL: 0.00279, VL: 0.00273 THD: 0.03888, VHD: 0.03767 TDD: 0.00041, VDD: 0.00038, Time: 0:00:37.436561
Epoch: 76, TL: 0.00269, VL: 0.00264 THD: 0.03736, VHD: 0.03635 TDD: 0.00042, VDD: 0.00035, Time: 0:00:35.034971
Epoch: 77, TL: 0.00260, VL: 0.00256 THD: 0.03597, VHD: 0.03506 TDD: 0.00043, VDD: 0.00036, Time: 0:00:33.970525
Epoch: 78, TL: 0.00252, VL: 0.00249 THD: 0.03467, VHD: 0.03385 TDD: 0.00044, VDD: 0.00039, Time: 0:00:33.587065
Epoch: 79, TL: 0.00244, VL: 0.00241 THD: 0.03348, VHD: 0.03351 TDD: 0.00045, VDD: 0.00036, Time: 0:00:33.503957
Epoch: 80, TL: 0.00236, VL: 0.00233 THD: 0.03240, VHD: 0.03457 TDD: 0.00046, VDD: 0.00041, Time: 0:00:33.096951
Epoch: 81, TL: 0.00229, VL: 0.00225 THD: 0.03132, VHD: 0.03310 TDD: 0.00047, VDD: 0.00044, Time: 0:00:33.134000
Epoch: 82, TL: 0.00222, VL: 0.00218 THD: 0.03020, VHD: 0.03061 TDD: 0.00048, VDD: 0.00047, Time: 0:00:32.980809
Epoch: 83, TL: 0.00215, VL: 0.00213 THD: 0.02898, VHD: 0.02941 TDD: 0.00050, VDD: 0.00053, Time: 0:00:32.940880
Epoch: 84, TL: 0.00209, VL: 0.00206 THD: 0.02781, VHD: 0.02764 TDD: 0.00051, VDD: 0.00052, Time: 0:00:33.120068
Epoch: 85, TL: 0.00203, VL: 0.00200 THD: 0.02656, VHD: 0.02668 TDD: 0.00053, VDD: 0.00056, Time: 0:00:33.048374
Epoch: 86, TL: 0.00197, VL: 0.00195 THD: 0.02544, VHD: 0.02557 TDD: 0.00055, VDD: 0.00058, Time: 0:00:32.990053
Epoch: 87, TL: 0.00192, VL: 0.00191 THD: 0.02442, VHD: 0.02508 TDD: 0.00056, VDD: 0.00061, Time: 0:00:33.053127
Epoch: 88, TL: 0.00187, VL: 0.00187 THD: 0.02337, VHD: 0.02467 TDD: 0.00057, VDD: 0.00065, Time: 0:00:33.102636
Epoch: 89, TL: 0.00182, VL: 0.00177 THD: 0.02255, VHD: 0.02273 TDD: 0.00059, VDD: 0.00057, Time: 0:00:33.086815
Epoch: 90, TL: 0.00177, VL: 0.00178 THD: 0.02168, VHD: 0.02434 TDD: 0.00060, VDD: 0.00072, Time: 0:00:33.001561
Epoch: 91, TL: 0.00173, VL: 0.00174 THD: 0.02091, VHD: 0.02230 TDD: 0.00061, VDD: 0.00073, Time: 0:00:33.072068
Epoch: 92, TL: 0.00168, VL: 0.00169 THD: 0.02010, VHD: 0.02244 TDD: 0.00063, VDD: 0.00079, Time: 0:00:33.008642
Epoch: 93, TL: 0.00164, VL: 0.00161 THD: 0.01961, VHD: 0.01964 TDD: 0.00065, VDD: 0.00070, Time: 0:00:33.078027
Epoch: 94, TL: 0.00159, VL: 0.00161 THD: 0.01880, VHD: 0.02133 TDD: 0.00068, VDD: 0.00078, Time: 0:00:33.154685
Epoch: 95, TL: 0.00155, VL: 0.00153 THD: 0.01833, VHD: 0.01823 TDD: 0.00069, VDD: 0.00069, Time: 0:00:33.186794
Epoch: 96, TL: 0.00151, VL: 0.00151 THD: 0.01768, VHD: 0.01950 TDD: 0.00072, VDD: 0.00083, Time: 0:00:33.196013
Epoch: 97, TL: 0.00148, VL: 0.00148 THD: 0.01730, VHD: 0.01849 TDD: 0.00074, VDD: 0.00077, Time: 0:00:33.171610
Epoch: 98, TL: 0.00145, VL: 0.00142 THD: 0.01704, VHD: 0.01763 TDD: 0.00076, VDD: 0.00078, Time: 0:00:33.027775
Epoch: 99, TL: 0.00142, VL: 0.00142 THD: 0.01664, VHD: 0.01705 TDD: 0.00078, VDD: 0.00072, Time: 0:00:33.037024
Epoch: 100, TL: 0.00139, VL: 0.00138 THD: 0.01635, VHD: 0.01685 TDD: 0.00079, VDD: 0.00076, Time: 0:00:33.129253
Epoch: 101, TL: 0.00136, VL: 0.00135 THD: 0.01617, VHD: 0.01599 TDD: 0.00080, VDD: 0.00066, Time: 0:00:33.080957
Epoch: 102, TL: 0.00133, VL: 0.00134 THD: 0.01591, VHD: 0.02019 TDD: 0.00083, VDD: 0.00078, Time: 0:00:33.129873
Epoch: 103, TL: 0.00131, VL: 0.00130 THD: 0.01555, VHD: 0.01645 TDD: 0.00086, VDD: 0.00087, Time: 0:00:33.150182
Epoch: 104, TL: 0.00128, VL: 0.00129 THD: 0.01522, VHD: 0.01677 TDD: 0.00089, VDD: 0.00096, Time: 0:00:33.217506
Epoch: 105, TL: 0.00126, VL: 0.00125 THD: 0.01492, VHD: 0.01566 TDD: 0.00092, VDD: 0.00092, Time: 0:00:33.156808
Epoch: 106, TL: 0.00124, VL: 0.00125 THD: 0.01475, VHD: 0.01624 TDD: 0.00094, VDD: 0.00102, Time: 0:00:33.161015
Epoch: 107, TL: 0.00122, VL: 0.00122 THD: 0.01460, VHD: 0.01607 TDD: 0.00096, VDD: 0.00098, Time: 0:00:33.234246
Epoch: 108, TL: 0.00120, VL: 0.00121 THD: 0.01458, VHD: 0.01550 TDD: 0.00096, VDD: 0.00097, Time: 0:00:33.124124
Epoch: 109, TL: 0.00118, VL: 0.00119 THD: 0.01426, VHD: 0.01522 TDD: 0.00100, VDD: 0.00099, Time: 0:00:33.185212
Epoch: 110, TL: 0.00116, VL: 0.00118 THD: 0.01408, VHD: 0.01497 TDD: 0.00103, VDD: 0.00098, Time: 0:00:33.078172
Epoch: 111, TL: 0.00114, VL: 0.00118 THD: 0.01387, VHD: 0.01589 TDD: 0.00106, VDD: 0.00095, Time: 0:00:33.129947
Epoch: 112, TL: 0.00112, VL: 0.00114 THD: 0.01372, VHD: 0.01598 TDD: 0.00109, VDD: 0.00117, Time: 0:00:33.245741
Epoch: 113, TL: 0.00110, VL: 0.00113 THD: 0.01357, VHD: 0.01573 TDD: 0.00112, VDD: 0.00114, Time: 0:00:33.106796
Epoch: 114, TL: 0.00109, VL: 0.00111 THD: 0.01348, VHD: 0.01496 TDD: 0.00113, VDD: 0.00112, Time: 0:00:33.219430
Epoch: 115, TL: 0.00107, VL: 0.00109 THD: 0.01343, VHD: 0.01468 TDD: 0.00116, VDD: 0.00116, Time: 0:00:33.135014
Epoch: 116, TL: 0.00106, VL: 0.00108 THD: 0.01332, VHD: 0.01394 TDD: 0.00119, VDD: 0.00103, Time: 0:00:33.250337
Epoch: 117, TL: 0.00105, VL: 0.00108 THD: 0.01332, VHD: 0.01711 TDD: 0.00121, VDD: 0.00116, Time: 0:00:33.222918
Epoch: 118, TL: 0.00103, VL: 0.00105 THD: 0.01300, VHD: 0.01510 TDD: 0.00125, VDD: 0.00121, Time: 0:00:33.203268
Epoch: 119, TL: 0.00102, VL: 0.00103 THD: 0.01288, VHD: 0.01591 TDD: 0.00128, VDD: 0.00144, Time: 0:00:33.198913
Epoch: 120, TL: 0.00101, VL: 0.00103 THD: 0.01305, VHD: 0.01497 TDD: 0.00131, VDD: 0.00131, Time: 0:00:33.232169
Epoch: 121, TL: 0.00099, VL: 0.00101 THD: 0.01265, VHD: 0.01783 TDD: 0.00135, VDD: 0.00137, Time: 0:00:33.257754
Epoch: 122, TL: 0.00098, VL: 0.00101 THD: 0.01253, VHD: 0.01760 TDD: 0.00138, VDD: 0.00141, Time: 0:00:33.235969
Epoch: 123, TL: 0.00097, VL: 0.00099 THD: 0.01248, VHD: 0.01423 TDD: 0.00141, VDD: 0.00139, Time: 0:00:33.175869
Epoch: 124, TL: 0.00096, VL: 0.00099 THD: 0.01242, VHD: 0.01679 TDD: 0.00143, VDD: 0.00167, Time: 0:00:33.053252
Epoch: 125, TL: 0.00095, VL: 0.00097 THD: 0.01259, VHD: 0.01480 TDD: 0.00145, VDD: 0.00147, Time: 0:00:33.311800
Epoch: 126, TL: 0.00094, VL: 0.00095 THD: 0.01238, VHD: 0.01557 TDD: 0.00148, VDD: 0.00170, Time: 0:00:33.219936
Epoch: 127, TL: 0.00093, VL: 0.00095 THD: 0.01221, VHD: 0.01504 TDD: 0.00151, VDD: 0.00170, Time: 0:00:33.312993
Epoch: 128, TL: 0.00092, VL: 0.00095 THD: 0.01228, VHD: 0.01573 TDD: 0.00155, VDD: 0.00166, Time: 0:00:33.137708
Epoch: 129, TL: 0.00092, VL: 0.00094 THD: 0.01213, VHD: 0.01685 TDD: 0.00157, VDD: 0.00184, Time: 0:00:33.288431
Epoch: 130, TL: 0.00091, VL: 0.00092 THD: 0.01240, VHD: 0.01452 TDD: 0.00159, VDD: 0.00175, Time: 0:00:33.259061
Epoch: 131, TL: 0.00090, VL: 0.00091 THD: 0.01226, VHD: 0.01407 TDD: 0.00163, VDD: 0.00165, Time: 0:00:33.246675
Epoch: 132, TL: 0.00089, VL: 0.00091 THD: 0.01196, VHD: 0.01427 TDD: 0.00166, VDD: 0.00178, Time: 0:00:33.311495
Epoch: 133, TL: 0.00089, VL: 0.00090 THD: 0.01190, VHD: 0.01455 TDD: 0.00171, VDD: 0.00182, Time: 0:00:33.256410
Epoch: 134, TL: 0.00088, VL: 0.00090 THD: 0.01196, VHD: 0.01431 TDD: 0.00173, VDD: 0.00182, Time: 0:00:33.247642
Epoch: 135, TL: 0.00087, VL: 0.00089 THD: 0.01198, VHD: 0.01267 TDD: 0.00177, VDD: 0.00159, Time: 0:00:33.229222
Epoch: 136, TL: 0.00087, VL: 0.00089 THD: 0.01180, VHD: 0.01291 TDD: 0.00180, VDD: 0.00160, Time: 0:00:33.290868
Epoch: 137, TL: 0.00086, VL: 0.00088 THD: 0.01173, VHD: 0.01282 TDD: 0.00182, VDD: 0.00161, Time: 0:00:33.333901
Epoch: 138, TL: 0.00085, VL: 0.00087 THD: 0.01163, VHD: 0.01261 TDD: 0.00186, VDD: 0.00170, Time: 0:00:33.323366
Epoch: 139, TL: 0.00085, VL: 0.00087 THD: 0.01149, VHD: 0.01284 TDD: 0.00190, VDD: 0.00171, Time: 0:00:33.337537
Epoch: 140, TL: 0.00084, VL: 0.00087 THD: 0.01151, VHD: 0.01276 TDD: 0.00192, VDD: 0.00165, Time: 0:00:33.364849
Epoch: 141, TL: 0.00084, VL: 0.00086 THD: 0.01160, VHD: 0.01256 TDD: 0.00196, VDD: 0.00160, Time: 0:00:33.249737
Epoch: 142, TL: 0.00083, VL: 0.00085 THD: 0.01151, VHD: 0.01257 TDD: 0.00197, VDD: 0.00174, Time: 0:00:33.192207
Epoch: 143, TL: 0.00083, VL: 0.00085 THD: 0.01143, VHD: 0.01289 TDD: 0.00201, VDD: 0.00183, Time: 0:00:33.167743
Epoch: 144, TL: 0.00082, VL: 0.00085 THD: 0.01125, VHD: 0.01269 TDD: 0.00205, VDD: 0.00172, Time: 0:00:33.306606
Epoch: 145, TL: 0.00082, VL: 0.00084 THD: 0.01126, VHD: 0.01285 TDD: 0.00208, VDD: 0.00178, Time: 0:00:33.344204
Epoch: 146, TL: 0.00081, VL: 0.00084 THD: 0.01118, VHD: 0.01334 TDD: 0.00210, VDD: 0.00193, Time: 0:00:33.174172
Epoch: 147, TL: 0.00081, VL: 0.00084 THD: 0.01117, VHD: 0.01325 TDD: 0.00214, VDD: 0.00177, Time: 0:00:33.323947
Epoch: 148, TL: 0.00081, VL: 0.00083 THD: 0.01146, VHD: 0.01272 TDD: 0.00212, VDD: 0.00197, Time: 0:00:33.251188
Epoch: 149, TL: 0.00080, VL: 0.00083 THD: 0.01127, VHD: 0.01267 TDD: 0.00218, VDD: 0.00180, Time: 0:00:33.349910
Epoch: 150, TL: 0.00080, VL: 0.00083 THD: 0.01144, VHD: 0.01430 TDD: 0.00217, VDD: 0.00208, Time: 0:00:33.301521
Epoch: 151, TL: 0.00080, VL: 0.00082 THD: 0.01114, VHD: 0.01246 TDD: 0.00224, VDD: 0.00202, Time: 0:00:33.265342
Epoch: 152, TL: 0.00079, VL: 0.00082 THD: 0.01095, VHD: 0.01352 TDD: 0.00228, VDD: 0.00208, Time: 0:00:33.276577
Epoch: 153, TL: 0.00079, VL: 0.00082 THD: 0.01102, VHD: 0.01260 TDD: 0.00230, VDD: 0.00202, Time: 0:00:33.263899
Epoch: 154, TL: 0.00078, VL: 0.00081 THD: 0.01078, VHD: 0.01257 TDD: 0.00235, VDD: 0.00205, Time: 0:00:33.444748
Epoch: 155, TL: 0.00078, VL: 0.00081 THD: 0.01097, VHD: 0.01241 TDD: 0.00235, VDD: 0.00192, Time: 0:00:33.418099
Epoch: 156, TL: 0.00078, VL: 0.00081 THD: 0.01105, VHD: 0.01281 TDD: 0.00237, VDD: 0.00212, Time: 0:00:33.442342
Epoch: 157, TL: 0.00078, VL: 0.00081 THD: 0.01074, VHD: 0.01377 TDD: 0.00244, VDD: 0.00198, Time: 0:00:33.417039
Epoch: 158, TL: 0.00077, VL: 0.00080 THD: 0.01092, VHD: 0.01238 TDD: 0.00244, VDD: 0.00215, Time: 0:00:33.418881
Epoch: 159, TL: 0.00077, VL: 0.00080 THD: 0.01088, VHD: 0.01291 TDD: 0.00246, VDD: 0.00211, Time: 0:00:33.351214
Epoch: 160, TL: 0.00077, VL: 0.00080 THD: 0.01092, VHD: 0.01262 TDD: 0.00248, VDD: 0.00208, Time: 0:00:33.324774
Epoch: 161, TL: 0.00077, VL: 0.00079 THD: 0.01078, VHD: 0.01215 TDD: 0.00251, VDD: 0.00222, Time: 0:00:33.336547
Epoch: 162, TL: 0.00077, VL: 0.00079 THD: 0.01087, VHD: 0.01230 TDD: 0.00253, VDD: 0.00223, Time: 0:00:33.352477
Epoch: 163, TL: 0.00076, VL: 0.00079 THD: 0.01072, VHD: 0.02072 TDD: 0.00256, VDD: 0.00225, Time: 0:00:33.441572
Epoch: 164, TL: 0.00076, VL: 0.00079 THD: 0.01063, VHD: 0.01250 TDD: 0.00258, VDD: 0.00230, Time: 0:00:33.381182
Epoch: 165, TL: 0.00076, VL: 0.00080 THD: 0.01060, VHD: 0.01395 TDD: 0.00260, VDD: 0.00224, Time: 0:00:33.379540
Epoch: 166, TL: 0.00076, VL: 0.00078 THD: 0.01120, VHD: 0.01248 TDD: 0.00257, VDD: 0.00230, Time: 0:00:33.371512
Epoch: 167, TL: 0.00076, VL: 0.00078 THD: 0.01074, VHD: 0.01230 TDD: 0.00263, VDD: 0.00228, Time: 0:00:33.464624
Epoch: 168, TL: 0.00075, VL: 0.00077 THD: 0.01065, VHD: 0.01197 TDD: 0.00267, VDD: 0.00237, Time: 0:00:33.402836
Epoch: 169, TL: 0.00075, VL: 0.00078 THD: 0.01041, VHD: 0.01391 TDD: 0.00273, VDD: 0.00232, Time: 0:00:33.464577
Epoch: 170, TL: 0.00075, VL: 0.00080 THD: 0.01054, VHD: 0.01942 TDD: 0.00272, VDD: 0.00221, Time: 0:00:33.299799
Epoch: 171, TL: 0.00075, VL: 0.00078 THD: 0.01039, VHD: 0.01243 TDD: 0.00275, VDD: 0.00244, Time: 0:00:33.345083
Epoch: 172, TL: 0.00074, VL: 0.00078 THD: 0.01037, VHD: 0.01280 TDD: 0.00279, VDD: 0.00249, Time: 0:00:33.351382
Epoch: 173, TL: 0.00074, VL: 0.00078 THD: 0.01027, VHD: 0.01270 TDD: 0.00282, VDD: 0.00245, Time: 0:00:33.306924
Epoch: 174, TL: 0.00074, VL: 0.00077 THD: 0.01031, VHD: 0.01281 TDD: 0.00282, VDD: 0.00256, Time: 0:00:33.369083
Epoch: 175, TL: 0.00075, VL: 0.00077 THD: 0.01087, VHD: 0.01328 TDD: 0.00276, VDD: 0.00265, Time: 0:00:33.331529
Epoch: 176, TL: 0.00074, VL: 0.00077 THD: 0.01063, VHD: 0.01253 TDD: 0.00281, VDD: 0.00254, Time: 0:00:33.446880
